title,description,publishedAt,source,url
"Ozzy Osbourne dies at 76, weeks after farewell Black Sabbath concert; follow live updates as tributes pour in from music legends",Osbourne's family confirmed the heavy metal rocker's death in a statement to the press.,2025-07-23 11:48:22+00:00,Yahoo Home,https://www.yahoo.com/entertainment/celebrity/live/ozzy-osbourne-dies-at-76-weeks-after-farewell-black-sabbath-concert-follow-live-updates-as-tributes-pour-in-from-music-legends-182404367.html
Gaza doctors ‘becoming too weak to treat patients’ as hunger crisis deepens,"Malnourished medical staff say they are struggling to provide care to injured civilians, while recovery rates are also hit by",2025-07-23 11:16:00+00:00,The Guardian,https://www.theguardian.com/global-development/2025/jul/23/gaza-doctors-becoming-too-weak-to-treat-patients-as-hunger-crisis-deepens
Germany says Ukraine anti-corruption curbs 'hampers' EU path,Germany's foreign minister said a law targeting the independence of anti-corruption agencies will make it harder for Ukraine to join the EU. The law triggered demos against the Ukrainian government. DW has more.,2025-07-23 11:14:54+00:00,DW,https://www.dw.com/en/germany-says-ukraine-anti-corruption-curbs-hampers-eu-path/live-73377690
"Venus Williams, 45, oldest since Navratilova with singles win",Venus Williams has become the oldest woman to win a tour-level singles match since Martina Navratilova.,2025-07-23 10:18:00+00:00,AP News,https://apnews.com/article/venus-williams-peyton-stearns-dc-open-8777fbf41ca1ec39e024fa7d10123b1f
How China came to rule the rare earth world : NPR,"The U.S. once controlled the market on rare earth elements, sought after for a range of technologies. But in the last few decades, China has cornered that market and surpassed the U.S.",2025-07-23 10:03:50+00:00,NPR,https://www.npr.org/2025/07/23/nx-s1-5475137/china-rare-earth-elements
What we know about the violent Jacksonville traffic stop that went viral,"The violent arrest of William McNeil, Jr., a 22-year-old Florida man, by Jacksonville sheriff’s deputies was caught in a viral video and prompted an investigation.",2025-07-23 09:11:15+00:00,ABC News,https://abcnews.go.com/US/violent-jacksonville-traffic-stop-viral/story?id=123968359
What’s That Splatter on Your Windshield?,Can you identify what insects are pelting your vehicle during your summer road trip? Take this quiz and see what you can learn from these close encounters.,2025-07-23 09:01:15+00:00,The New York Times,https://www.nytimes.com/interactive/2025/07/23/science/23xp-bugquiz.html
‘Starting Today’-Microsoft Confirms Free Windows Update,Check your PC for this critical new update — what to know.,2025-07-23 08:35:51+00:00,Forbes,https://www.forbes.com/sites/zakdoffman/2025/07/23/starting-today-microsoft-confirms-free-windows-update/
Chinese and EU leaders are set to meet. The U.S. is complicating things,"Chinese and European Union leaders are meeting at a summit in Beijing on Thursday, with trade tensions running high.",2025-07-23 05:10:21+00:00,CNBC,https://www.cnbc.com/2025/07/23/chinese-and-eu-leaders-are-set-to-meet-the-us-is-complicating-things.html
Thousands protest as Zelenskyy weakening anti-corruption : NPR,"Ukraine's parliament passed legislation that will tighten oversight of two key anti-corruption agencies, which critics say could significantly weaken their independence.",2025-07-23 04:52:31+00:00,NPR,https://www.npr.org/2025/07/23/nx-s1-5477240/zelenskyy-signs-bill-weakening-anti-corruption-agencies-protest
